Region,Year,Type of alcoholic beverages,Consumption of alcoholic beverages (thousands of decaliters),Consumption of alcoholic beverages (in liters per capita),Consumption of alcoholic beverages (in liters of pure alcohol per capita)
Belgorod Oblast,2017,Wine,278.27,1.79,0.20
Bryansk Oblast,2017,Wine,368.22,3.02,0.33
Vladimir Oblast,2017,Wine,518.43,3.70,0.41
Voronezh Oblast,2017,Wine,628.77,2.68,0.30
Ivanovo Oblast,2017,Wine,339.89,3.42,0.38
Kaluga Oblast,2017,Wine,416.37,3.98,0.44
Kostroma Oblast,2017,Wine,213.94,3.43,0.38
Kursk Oblast,2017,Wine,242.20,2.16,0.24
Lipetsk Oblast,2017,Wine,303.06,2.59,0.29
Moscow Oblast,2017,Wine,4628.87,5.82,0.64
Oryol Oblast,2017,Wine,195.32,2.60,0.29
Ryazan Oblast,2017,Wine,359.48,3.17,0.35
Smolensk Oblast,2017,Wine,341.00,3.63,0.40
Tambov Oblast,2017,Wine,205.90,1.98,0.22
Tver Oblast,2017,Wine,543.54,4.20,0.46
Tula Oblast,2017,Wine,507.59,3.31,0.36
Yaroslavl Oblast,2017,Wine,612.82,4.87,0.54
Moscow,2017,Wine,6673.28,5.35,0.59
Republic of Karelia,2017,Wine,397.94,6.79,0.75
Komi Republic,2017,Wine,405.19,4.99,0.55
Nenets Autonomous Okrug,2017,Wine,35.81,8.47,0.93
Vologda Oblast,2017,Wine,539.14,4.56,0.50
Kaliningrad Oblast,2017,Wine,476.12,4.82,0.53
Leningrad Oblast,2017,Wine,1087.46,5.90,0.65
Murmansk Oblast,2017,Wine,385.19,5.32,0.59
Novgorod Oblast,2017,Wine,274.01,4.49,0.49
Pskov Oblast,2017,Wine,261.36,4.13,0.45
Saint Petersburg,2017,Wine,3602.17,6.66,0.73
Arkhangelsk Oblast,2017,Wine,532.25,4.98,0.55
Adygea,2017,Wine,132.91,2.83,0.31
Kalmykia,2017,Wine,25.98,0.94,0.10
Republic of Crimea,2017,Wine,752.25,3.91,0.43
Krasnodar Krai,2017,Wine,2194.79,3.88,0.43
Astrakhan Oblast,2017,Wine,202.52,2.02,0.22
Volgograd Oblast,2017,Wine,586.03,2.29,0.25
Rostov Oblast,2017,Wine,862.82,2.03,0.22
Sevastopol,2017,Wine,246.82,5.38,0.59
Dagestan,2017,Wine,67.85,0.22,0.02
Ingushetia,2017,Wine,0.75,0.02,0.00
Kabardino-Balkaria,2017,Wine,31.72,0.36,0.04
Karachay-Cherkessia,2017,Wine,30.35,0.65,0.07
North Ossetia-Alania,2017,Wine,25.04,0.36,0.04
Chechnya,2017,Wine,1.97,0.01,0.00
Stavropol Krai,2017,Wine,514.21,1.79,0.20
Bashkortostan,2017,Wine,874.20,2.12,0.23
Mari El,2017,Wine,167.66,2.44,0.27
Mordovia,2017,Wine,145.08,1.78,0.20
Tatarstan,2017,Wine,879.73,2.23,0.25
Udmurtia,2017,Wine,448.38,2.99,0.33
Chuvashia,2017,Wine,244.04,1.99,0.22
Perm Krai,2017,Wine,856.79,3.28,0.36
Kirov Oblast,2017,Wine,441.35,3.55,0.39
Nizhny Novgorod Oblast,2017,Wine,1169.60,3.62,0.40
Orenburg Oblast,2017,Wine,489.96,2.51,0.28
Penza Oblast,2017,Wine,261.76,1.96,0.22
Samara Oblast,2017,Wine,1009.75,3.13,0.34
Saratov Oblast,2017,Wine,511.58,2.03,0.22
Ulyanovsk Oblast,2017,Wine,333.21,2.67,0.29
Kurgan Oblast,2017,Wine,216.57,2.59,0.28
Sverdlovsk Oblast,2017,Wine,1888.66,4.36,0.48
Khanty–Mansi Autonomous Okrug – Yugra,2017,Wine,531.92,3.22,0.35
Yamalo-Nenets Autonomous Okrug,2017,Wine,180.13,3.51,0.39
Chelyabinsk Oblast,2017,Wine,1141.79,3.26,0.36
Tyumen Oblast,2017,Wine,475.36,3.16,0.35
Altai Republic,2017,Wine,48.16,2.28,0.25
Tuva,2017,Wine,25.03,0.78,0.09
Khakassia,2017,Wine,110.45,2.04,0.22
Altai Krai,2017,Wine,523.52,2.27,0.25
Krasnoyarsk Krai,2017,Wine,906.35,3.15,0.35
Irkutsk Oblast,2017,Wine,758.40,3.14,0.35
Kemerovo Oblast,2017,Wine,696.85,2.58,0.28
Novosibirsk Oblast,2017,Wine,934.10,3.35,0.37
Omsk Oblast,2017,Wine,516.37,2.64,0.29
Tomsk Oblast,2017,Wine,335.39,3.12,0.34
Buryatia,2017,Wine,186.49,1.90,0.21
Sakha (Yakutia),2017,Wine,209.16,2.16,0.24
Zabaykalsky Krai,2017,Wine,274.03,2.59,0.29
Kamchatka Krai,2017,Wine,136.28,4.49,0.49
Primorsky Krai,2017,Wine,767.31,4.02,0.44
Khabarovsk Krai,2017,Wine,468.47,3.52,0.39
Amur Oblast,2017,Wine,274.56,3.45,0.38
Magadan Oblast,2017,Wine,59.22,4.10,0.45
Sakhalin Oblast,2017,Wine,243.40,5.11,0.56
Jewish Autonomous Oblast,2017,Wine,39.41,2.44,0.27
Chukotka Autonomous Okrug,2017,Wine,14.52,2.99,0.33
Belgorod Oblast,2018,Wine,290.06,1.87,0.21
Bryansk Oblast,2018,Wine,361.26,2.99,0.33
Vladimir Oblast,2018,Wine,520.03,3.74,0.41
Voronezh Oblast,2018,Wine,644.17,2.75,0.30
Ivanovo Oblast,2018,Wine,353.15,3.60,0.40
Kaluga Oblast,2018,Wine,425.43,4.05,0.45
Kostroma Oblast,2018,Wine,225.71,3.67,0.40
Kursk Oblast,2018,Wine,262.24,2.36,0.26
Lipetsk Oblast,2018,Wine,311.05,2.67,0.29
Moscow Oblast,2018,Wine,4876.90,6.03,0.66
Oryol Oblast,2018,Wine,200.62,2.69,0.30
Ryazan Oblast,2018,Wine,361.88,3.20,0.35
Smolensk Oblast,2018,Wine,356.11,3.81,0.42
Tambov Oblast,2018,Wine,205.65,1.99,0.22
Tver Oblast,2018,Wine,552.95,4.32,0.47
Tula Oblast,2018,Wine,512.50,3.34,0.37
Yaroslavl Oblast,2018,Wine,630.91,5.04,0.55
Moscow,2018,Wine,6837.16,5.40,0.59
Republic of Karelia,2018,Wine,394.38,6.90,0.76
Komi Republic,2018,Wine,387.05,4.86,0.53
Nenets Autonomous Okrug,2018,Wine,35.48,8.44,0.93
Vologda Oblast,2018,Wine,539.51,4.59,0.50
Kaliningrad Oblast,2018,Wine,520.58,5.22,0.57
